game_id,game_category
72849855,GENRE_BOARDS
72850660,GENRE_BOARDS
72892819,GENRE_GAMBLING
72893049,GENRE_BOARDS
72893486,GENRE_BOARDS
72961704,GENRE_LOGIC
73091815,GENRE_BOARDS
73091976,GENRE_BOARDS
73092367,GENRE_BOARDS
73110399,GENRE_COMMUNICATION
73184758,GENRE_BOARDS
73184988,GENRE_BOARDS
73185310,GENRE_BOARDS
73264798,GENRE_STRATEGY
73407536,GENRE_GAMBLING
73407858,GENRE_BOARDS
73463357,GENRE_SIMULATORS
73632959,GENRE_STRATEGY
73829195,GENRE_3D_SHOOTERS
73866915,GENRE_HYPERCASUAL
73900794,GENRE_ECONOMIC
74094615,GENRE_3D_SHOOTERS
74833789,GENRE_QUESTS
74838918,GENRE_QUESTS
75308210,GENRE_QUESTS
75353198,GENRE_SIMULATORS
75640238,GENRE_SIMULATORS
76010354,GENRE_3D_SHOOTERS
76487167,GENRE_SIMULATORS
76905606,GENRE_RACING
76995582,GENRE_SIMULATORS
78178564,GENRE_BOARDS
79152499,GENRE_COMMUNICATION
79271869,GENRE_QUESTS
79590672,GENRE_BOARDS
79759423,GENRE_GAMBLING
79794889,GENRE_STRATEGY
80293575,GENRE_COMMUNICATION
80360436,GENRE_STRATEGY
80530889,GENRE_LOGIC
80558880,GENRE_COMMUNICATION
80684552,GENRE_BOARDS
81838876,GENRE_STRATEGY
81994586,GENRE_ROLE
82322635,GENRE_3D_SHOOTERS
82673408,GENRE_SIMULATORS
82783785,GENRE_LOGIC
82790961,GENRE_HYPERCASUAL
82915621,GENRE_LOGIC
83502742,GENRE_QUESTS
83639845,GENRE_3D_SHOOTERS
83814438,GENRE_STRATEGY
83832148,GENRE_RACING
84261098,GENRE_3D_SHOOTERS
84347417,GENRE_BOARDS
84369497,GENRE_BOARDS
84670751,GENRE_3D_SHOOTERS
84978997,GENRE_RACING
85325400,GENRE_THREE_IN_ROW
85734225,GENRE_LOGIC
85762653,GENRE_BOARDS
86044656,GENRE_THREE_IN_ROW
88070680,GENRE_SIMULATORS
88433137,GENRE_QUESTS
88452020,GENRE_HYPERCASUAL
88538983,GENRE_THREE_IN_ROW
88846447,GENRE_QUESTS
88955812,GENRE_3D_SHOOTERS
89024214,GENRE_BOARDS
89047306,GENRE_QUESTS
89297753,GENRE_THREE_IN_ROW
89362176,GENRE_COMMUNICATION
89608391,GENRE_SIMULATORS
89690800,GENRE_RACING
89699172,GENRE_GAMBLING
89826477,GENRE_STRATEGY
89845360,GENRE_ECONOMIC
89927516,GENRE_SIMULATORS
90148799,GENRE_COMMUNICATION
90268100,GENRE_BOARDS
90805173,GENRE_SIMULATORS
90904395,GENRE_RACING
91088096,GENRE_BOARDS
91522750,GENRE_SIMULATORS
91559389,GENRE_BOARDS
91903285,GENRE_HYPERCASUAL
92233243,GENRE_STRATEGY
92437000,GENRE_ECONOMIC
92513567,GENRE_GAMBLING
93171413,GENRE_HYPERCASUAL
93242092,GENRE_LOGIC
94035017,GENRE_SIMULATORS
94415736,GENRE_VERBAL
94728720,GENRE_BOARDS
94970657,GENRE_BOARDS
95340336,GENRE_ROLE
